President/Vice President,Hillary Clinton / Tim Kaine,Total,-1,8886
President/Vice President,Donald J. Trump / Michael R. Pence,Total,-1,13206
President/Vice President,Alyson Kennedy / Osborne Hart,Total,-1,46
President/Vice President,Gloria Estela La Riva / Eugene Puryear,Total,-1,34
President/Vice President,Jill Stein / Ajamu Baraka,Total,-1,225
President/Vice President,Darrell L. Castle / Scott N. Bradley,Total,-1,175
President/Vice President,Gary Johnson / Bill Weld,Total,-1,1148
President/Vice President,Hillary Clinton / Tim Kaine,Pct 001,1,476
President/Vice President,Donald J. Trump / Michael R. Pence,Pct 001,1,97
President/Vice President,Alyson Kennedy / Osborne Hart,Pct 001,1,6
President/Vice President,Gloria Estela La Riva / Eugene Puryear,Pct 001,1,3
President/Vice President,Jill Stein / Ajamu Baraka,Pct 001,1,7
President/Vice President,Darrell L. Castle / Scott N. Bradley,Pct 001,1,2
President/Vice President,Gary Johnson / Bill Weld,Pct 001,1,31
President/Vice President,Hillary Clinton / Tim Kaine,Pct 002,2,282
President/Vice President,Donald J. Trump / Michael R. Pence,Pct 002,2,64
President/Vice President,Alyson Kennedy / Osborne Hart,Pct 002,2,2
President/Vice President,Gloria Estela La Riva / Eugene Puryear,Pct 002,2,1
President/Vice President,Jill Stein / Ajamu Baraka,Pct 002,2,5
President/Vice President,Darrell L. Castle / Scott N. Bradley,Pct 002,2,3
President/Vice President,Gary Johnson / Bill Weld,Pct 002,2,11
President/Vice President,Hillary Clinton / Tim Kaine,Pct 003,3,92
President/Vice President,Donald J. Trump / Michael R. Pence,Pct 003,3,42
President/Vice President,Alyson Kennedy / Osborne Hart,Pct 003,3,0
President/Vice President,Gloria Estela La Riva / Eugene Puryear,Pct 003,3,1
President/Vice President,Jill Stein / Ajamu Baraka,Pct 003,3,5
President/Vice President,Darrell L. Castle / Scott N. Bradley,Pct 003,3,2
President/Vice President,Gary Johnson / Bill Weld,Pct 003,3,3
President/Vice President,Hillary Clinton / Tim Kaine,Pct 004,4,150
President/Vice President,Donald J. Trump / Michael R. Pence,Pct 004,4,42
President/Vice President,Alyson Kennedy / Osborne Hart,Pct 004,4,2
President/Vice President,Gloria Estela La Riva / Eugene Puryear,Pct 004,4,1
President/Vice President,Jill Stein / Ajamu Baraka,Pct 004,4,6
President/Vice President,Darrell L. Castle / Scott N. Bradley,Pct 004,4,1
President/Vice President,Gary Johnson / Bill Weld,Pct 004,4,3
President/Vice President,Hillary Clinton / Tim Kaine,Pct 005,5,141
President/Vice President,Donald J. Trump / Michael R. Pence,Pct 005,5,42
President/Vice President,Alyson Kennedy / Osborne Hart,Pct 005,5,2
President/Vice President,Gloria Estela La Riva / Eugene Puryear,Pct 005,5,0
